User,CARD INDEX,Card Brand,Card Type,Card Number,Expires,CVV,Has Chip,Cards Issued,Credit Limit,Acct Open Date,Year PIN last Changed,Card on Dark Web
72,0,Mastercard,Credit,5597117503471640,08/2024,934,NO,1,72,02/2020,2020,No
72,1,Mastercard,Debit,5808372218918202,09/2023,138,YES,2,72,02/2020,2020,No
73,0,Mastercard,Debit,5565497732362129,03/2022,430,NO,1,73,04/2012,2012,No
73,1,Visa,Debit,4072893581482208,12/2020,578,YES,2,73,01/2008,2010,No
73,2,Mastercard,Debit,5161929618424764,07/2016,743,YES,1,73,02/2016,2016,No
73,3,Mastercard,Credit,5359358098670039,07/2019,428,YES,1,73,02/2011,2014,No
73,4,Mastercard,Debit,5093514487076217,06/2020,889,YES,2,73,02/2011,2013,No
73,5,Visa,Credit,4409790595650716,05/2012,839,YES,2,73,01/2009,2011,No
73,6,Amex,Credit,373325875666765,01/2022,204,YES,2,73,11/2006,2013,No
74,0,Amex,Credit,366837170672753,01/2021,803,YES,2,74,11/2006,2014,No
74,1,Mastercard,Debit,5260255791659846,05/2024,428,YES,2,74,03/2006,2009,No
74,2,Mastercard,Debit,5911939393457828,03/2024,410,YES,2,74,04/1996,2008,No
74,3,Visa,Credit,4226284680001632,09/2022,966,YES,2,74,11/2004,2007,No
75,0,Mastercard,Debit,5624997997810589,06/2024,992,NO,2,75,07/2006,2006,No
75,1,Mastercard,Debit,5752209560237460,03/2023,385,YES,2,75,08/2001,2006,No
75,2,Mastercard,Debit,5470018669871087,10/2020,598,YES,2,75,12/2002,2010,No
75,3,Mastercard,Credit,5764603958082866,08/2021,397,YES,1,75,08/2010,2010,No
75,4,Visa,Debit,4378354586828464,06/2021,644,YES,2,75,10/2004,2011,No
76,0,Visa,Debit,4415203972868492,09/2020,847,YES,2,76,01/2020,2020,No
77,0,Visa,Credit,4716309780327853,07/2022,275,YES,1,77,01/2010,2010,No
77,1,Mastercard,Credit,5175414290540891,04/2022,497,NO,2,77,07/2011,2011,No
77,2,Mastercard,Credit,5079431552272493,05/2024,813,NO,1,77,11/2002,2010,No
78,0,Visa,Credit,4841586209388617,08/2020,207,YES,1,78,10/2009,2009,No
78,1,Mastercard,Credit,5133341979041600,04/2024,497,YES,2,78,02/2020,2020,No
78,2,Visa,Debit,4044685132149960,05/2021,579,YES,1,78,01/2020,2020,No
78,3,Visa,Credit,4825181289428263,04/2020,635,NO,1,78,11/2010,2014,No
79,0,Mastercard,Debit,5533057740649374,01/2020,13,YES,2,79,12/2014,2014,No
79,1,Mastercard,Debit,5137811039972629,06/2022,170,NO,2,79,02/2020,2020,No
79,2,Visa,Credit,4409545480052957,11/2024,528,YES,1,79,02/2020,2020,No
79,3,Mastercard,Debit,5169705466479218,03/2020,66,YES,1,79,01/2020,2020,No
80,0,Mastercard,Credit,5782138554730431,02/2020,217,YES,2,80,02/2020,2020,No
80,1,Visa,Credit,4450097042295695,11/2021,601,YES,1,80,02/2020,2020,No
80,2,Mastercard,Credit,5298079382002761,11/2021,989,YES,1,80,01/2020,2020,No
81,0,Visa,Debit,4911894810892317,06/2024,769,YES,1,81,12/2009,2009,No
81,1,Visa,Debit,4394014058373538,10/2022,943,YES,1,81,05/2008,2008,No
81,2,Visa,Credit,4984110253172329,06/2021,453,YES,2,81,10/2000,2013,No
82,0,Mastercard,Debit,5658875071888530,02/2020,190,YES,2,82,02/2020,2020,No
83,0,Mastercard,Debit,5377126168537132,10/2022,94,YES,2,83,11/2002,2010,No
83,1,Mastercard,Debit,5606824501502078,06/2014,451,YES,1,83,08/2004,2011,No
83,2,Visa,Debit,4501704511432206,03/2023,324,YES,1,83,10/2007,2016,No
83,3,Visa,Debit,4015096339812707,02/2023,494,YES,1,83,06/2010,2010,No
84,0,Visa,Debit,4467199760802877,11/2014,176,YES,1,84,11/2014,2014,No
84,1,Visa,Credit,4081474027835147,07/2015,45,YES,1,84,03/2008,2013,No
84,2,Visa,Debit (Prepaid),4868297041449163,10/2020,440,YES,2,84,11/2005,2007,No
85,0,Mastercard,Debit,5843714671989158,01/2020,533,YES,2,85,01/2020,2020,No
85,1,Visa,Debit,4052306795072868,12/2021,369,YES,2,85,02/2020,2020,No
86,0,Visa,Credit,4229889369220690,04/2024,82,YES,2,86,07/2008,2010,No
86,1,Mastercard,Credit,5936949471946678,10/2022,372,YES,2,86,02/2011,2012,No
86,2,Visa,Debit,4748458102584203,07/2024,223,YES,2,86,01/2020,2020,No
86,3,Visa,Credit,4862788591864799,02/2019,466,YES,1,86,04/2012,2012,No
87,0,Mastercard,Debit,5736838327060448,11/2022,714,YES,2,87,05/2000,2015,No
87,1,Visa,Debit,4528854599819268,08/2019,451,YES,2,87,09/2010,2010,No
88,0,Mastercard,Debit,5956798767354537,04/2020,927,YES,2,88,02/2020,2020,No
88,1,Visa,Credit,4949830998579625,06/2020,561,NO,1,88,01/2020,2020,No
89,0,Amex,Credit,323782494048404,03/2020,659,YES,1,89,08/2003,2010,No
89,1,Visa,Credit,4172882144788973,03/2012,902,YES,2,89,02/2008,2009,No
89,2,Mastercard,Credit,5153494647482349,10/2019,492,YES,1,89,04/2009,2011,No
89,3,Mastercard,Debit,5513208341097350,12/2023,789,YES,1,89,01/1999,2009,No
89,4,Amex,Credit,316138720673532,09/2020,876,YES,2,89,09/2008,2008,No
90,0,Visa,Debit,4709941855155413,12/2008,122,YES,1,90,12/2007,2007,No
91,0,Visa,Debit,4725438629956463,06/2022,675,YES,1,91,06/2007,2007,No
91,1,Visa,Debit,4992990568824247,05/2023,457,YES,1,91,11/2007,2011,No
92,0,Visa,Debit (Prepaid),4580252759299284,02/2021,397,YES,2,92,02/2010,2010,No
92,1,Amex,Credit,347103137777594,12/2022,791,YES,2,92,06/2009,2009,No
93,0,Mastercard,Debit,5779387577644606,02/2022,421,YES,1,93,02/2020,2020,No
93,1,Amex,Credit,343258769247986,11/2024,210,YES,3,93,02/2020,2020,No
94,0,Amex,Credit,374396421501669,03/2024,659,YES,2,94,02/2012,2012,No
95,0,Discover,Credit,6308795344040919,11/2024,205,YES,2,95,06/2016,2016,No
96,0,Visa,Debit,4439832703761219,08/2020,424,YES,2,96,10/2009,2015,No
96,1,Amex,Credit,304372446656131,03/2021,495,YES,1,96,07/2010,2010,No
97,0,Mastercard,Credit,5881384408371205,03/2023,312,NO,2,97,11/2006,2009,No
97,1,Visa,Credit,4966727954053977,11/2021,756,YES,2,97,05/2005,2018,No
98,0,Mastercard,Credit,5784959743819578,07/2023,348,YES,1,98,06/1999,2011,No
98,1,Mastercard,Debit,5617375085275816,06/2022,228,YES,2,98,09/2008,2015,No
98,2,Visa,Debit,4813292561037475,07/2005,979,YES,2,98,06/2004,2009,No
98,3,Mastercard,Credit,5659042637826477,06/2023,857,YES,2,98,02/2007,2011,No
98,4,Mastercard,Debit,5691123059106648,08/2024,190,YES,2,98,06/2006,2011,No
98,5,Visa,Debit,4803335286454198,02/2020,568,NO,1,98,02/2011,2011,No
99,0,Visa,Debit,4274334344737347,12/2024,174,YES,1,99,02/2020,2020,No
99,1,Mastercard,Debit,5073514573038606,02/2023,802,YES,1,99,02/2020,2020,No
100,0,Mastercard,Debit,5550999995379539,07/2020,980,YES,2,100,03/2006,2010,No
100,1,Discover,Credit,6616646974839947,11/2009,72,NO,2,100,10/2009,2009,No
100,2,Mastercard,Credit,5384097503885721,02/2019,704,YES,2,100,08/2005,2009,No
100,3,Mastercard,Debit,5082019741631139,04/2021,459,YES,1,100,06/2016,2016,No
100,4,Mastercard,Debit,5843429452249829,08/2021,570,YES,2,100,06/2003,2010,No
100,5,Mastercard,Debit,5898198294277172,08/2022,332,YES,2,100,05/2009,2009,No
100,6,Mastercard,Debit,5433366978583845,03/2024,530,YES,2,100,01/1997,2007,No
101,0,Visa,Debit,4073664438482773,03/2022,973,NO,1,101,06/2003,2017,No
101,1,Amex,Credit,349088998842560,06/2022,652,YES,2,101,06/2018,2018,No
101,2,Visa,Debit,4701143570043786,11/2012,807,NO,1,101,02/2004,2008,No
102,0,Mastercard,Debit (Prepaid),5151149006132572,05/2020,636,NO,2,102,03/2005,2011,No
102,1,Mastercard,Debit,5289860104321083,08/2015,59,YES,2,102,01/2004,2005,No
102,2,Mastercard,Debit,5496658602251095,12/2020,962,YES,2,102,10/2002,2011,No
102,3,Mastercard,Debit,5571413073625472,05/2024,741,YES,2,102,08/1999,2013,No
102,4,Visa,Credit,4255418851751854,06/2010,361,NO,2,102,05/2008,2010,No
103,0,Mastercard,Debit,5718393085724653,11/2022,117,YES,2,103,06/2011,2011,No
103,1,Mastercard,Debit (Prepaid),5358119472579247,03/2023,129,YES,2,103,07/2005,2006,No
103,2,Mastercard,Debit,5615933957470022,02/2020,432,YES,2,103,05/2007,2010,No
103,3,Mastercard,Debit (Prepaid),5310685272979011,02/2018,830,YES,2,103,02/2009,2015,No
104,0,Mastercard,Debit,5198251438400161,05/2021,789,YES,1,104,01/2020,2020,No
104,1,Mastercard,Debit,5306340091674907,05/2016,523,YES,1,104,04/2016,2016,No
104,2,Visa,Debit (Prepaid),4338828980282998,12/2021,148,YES,2,104,02/2020,2020,No
104,3,Visa,Debit,4430018858326722,12/2022,451,NO,1,104,01/2020,2020,No
105,0,Mastercard,Debit (Prepaid),5439358068470043,02/2020,309,YES,1,105,02/2020,2020,No
106,0,Mastercard,Debit,5139001522381220,04/2021,740,YES,2,106,02/2012,2012,No
106,1,Mastercard,Debit,5420521698473433,07/2019,257,YES,2,106,06/2019,2019,No
